group,type,specimen,strain,stress
F0,flat,P1,0.9795692,0.2919682
F0,flat,P1,1.043892,0.3085521
F0,flat,P1,1.107585,0.3249605
F0,flat,P1,1.171446,0.3410935
F0,flat,P1,1.236415,0.3568512
F0,flat,P1,1.300354,0.3726766
F0,flat,P1,1.364354,0.3884627
F0,flat,P1,1.4278,0.4039299
F0,flat,P1,1.491954,0.4189927
F0,flat,P1,1.556846,0.4337277
F0,flat,P1,1.620815,0.448325
F0,flat,P1,1.684754,0.4626721
F0,flat,P1,1.748231,0.476646
F0,flat,P1,1.812538,0.4900555
F0,flat,P1,1.877123,0.50329
F0,flat,P1,1.941215,0.5166451
F0,flat,P1,2.005108,0.5298119
F0,flat,P1,2.068585,0.542775
F0,flat,P1,2.133323,0.5554301
F0,flat,P1,2.197723,0.5680807
F0,flat,P1,2.261723,0.5808125
F0,flat,P1,2.325385,0.5933404
F0,flat,P1,2.389015,0.6054995
F0,flat,P1,2.454108,0.6174191
F0,flat,P1,2.518231,0.6295328
F0,flat,P1,2.582508,0.6416146
F0,flat,P1,2.645938,0.6535776
F0,flat,P1,2.709646,0.6652662
F0,flat,P1,2.7748,0.6766626
F0,flat,P1,2.838815,0.6880606
F0,flat,P1,2.902862,0.6991102
F0,flat,P1,2.966262,0.7098531
F0,flat,P1,3.030415,0.7203451
F0,flat,P1,3.095462,0.7306175
F0,flat,P1,3.159246,0.7409728
F0,flat,P1,3.223108,0.7513657
F0,flat,P1,3.286569,0.7616234
F0,flat,P1,3.351123,0.7717072
F0,flat,P1,3.415816,0.7819834
F0,flat,P1,3.479908,0.7923737
F0,flat,P1,3.543646,0.8026755
F0,flat,P1,3.607154,0.8128723
F0,flat,P1,3.671938,0.82176
F0,flat,P1,3.736139,0.8285785
F0,flat,P1,3.800339,0.8371723
F0,flat,P1,3.863893,0.8468773
F0,flat,P1,3.927738,0.8564374
F0,flat,P1,3.992708,0.865721
F0,flat,P1,4.056646,0.8749387
F0,flat,P1,4.120969,0.8840584
F0,flat,P1,4.1844,0.8932365
F0,flat,P1,4.248262,0.9015734
F0,flat,P1,4.313339,0.9095674
F0,flat,P1,4.377231,0.918658
F0,flat,P1,4.441092,0.9277629
F0,flat,P1,4.504677,0.9365614
F0,flat,P1,4.568877,0.9450419
F0,flat,P1,4.633815,0.9532127
F0,flat,P1,4.697708,0.9611464
F0,flat,P1,4.761677,0.9693509
F0,flat,P1,4.825108,0.9775414
F0,flat,P1,4.889616,0.9853225
F0,flat,P1,4.954169,0.9931777
F0,flat,P1,5.018216,1.001162
F0,flat,P1,5.082154,1.009066
F0,flat,P1,5.14577,1.017118
F0,flat,P1,5.21063,1.025139
F0,flat,P1,5.274754,1.033151
F0,flat,P1,5.338723,1.04101
F0,flat,P1,5.402431,1.049017
F0,flat,P1,5.466277,1.056999
F0,flat,P1,5.531185,1.064675
F0,flat,P1,5.595385,1.072341
F0,flat,P1,5.659508,1.080009
F0,flat,P1,5.722785,1.087729
F0,flat,P1,5.786908,1.095354
F0,flat,P1,5.851723,1.102945
F0,flat,P1,5.915462,1.110497
F0,flat,P1,5.979815,1.117711
F0,flat,P1,6.043416,1.124474
F0,flat,P1,6.107692,1.130888
F0,flat,P1,6.172,1.137174
F0,flat,P1,6.2364,1.143439
F0,flat,P1,6.300261,1.150149
F0,flat,P2,0.01981539,0.01878077
F0,flat,P2,0.08367692,0.03735269
F0,flat,P2,0.1484462,0.05681372
F0,flat,P2,0.2128769,0.07673564
F0,flat,P2,0.2766615,0.09632923
F0,flat,P2,0.3404462,0.1154864
F0,flat,P2,0.4052154,0.1342179
F0,flat,P2,0.4693077,0.1528991
F0,flat,P2,0.5332769,0.1713678
F0,flat,P2,0.5968615,0.1895945
F0,flat,P2,0.6609846,0.2075156
F0,flat,P2,0.7258,0.2251622
F0,flat,P2,0.7897692,0.2428174
F0,flat,P2,0.8537846,0.260234
F0,flat,P2,0.9171846,0.2773697
F0,flat,P2,0.9816154,0.2942691
F0,flat,P2,1.046277,0.3111555
F0,flat,P2,1.110369,0.3279355
F0,flat,P2,1.174262,0.3445233
F0,flat,P2,1.237723,0.3609696
F0,flat,P2,1.302431,0.3770328
F0,flat,P2,1.366754,0.3929974
F0,flat,P2,1.430954,0.4087705
F0,flat,P2,1.494492,0.4242214
F0,flat,P2,1.558323,0.4395422
F0,flat,P2,1.623215,0.4546759
F0,flat,P2,1.687338,0.4698066
F0,flat,P2,1.751385,0.4847344
F0,flat,P2,1.814969,0.4992571
F0,flat,P2,1.878862,0.5134518
F0,flat,P2,1.943523,0.5274402
F0,flat,P2,2.007462,0.5413321
F0,flat,P2,2.071661,0.5548444
